vul_id,repo,fixed_commit_sha,tag,version,vuddy,movery,v1scan,fire,vulture,verdict
CVE-2020-27756,ImageMagick/ImageMagick,f35eca82b0c294ff9d0ccad104a881c3ae2ba913,vul,7.0.7-39,FN,TP,TP,TP,FN,TP
CVE-2020-27756,ImageMagick/ImageMagick,f35eca82b0c294ff9d0ccad104a881c3ae2ba913,vul,7.0.7-23,FN,TP,TP,TP,FN,TP
CVE-2020-27756,ImageMagick/ImageMagick,f35eca82b0c294ff9d0ccad104a881c3ae2ba913,fix,7.1.2-0,TN,TN,TN,TN,TN,TN
CVE-2020-27758,ImageMagick/ImageMagick,f0a8d407b2801174fd8923941a9e7822f7f9a506,vul,7.0.7-39,FN,FN,FN,FN,FN,TP
CVE-2020-27758,ImageMagick/ImageMagick,f0a8d407b2801174fd8923941a9e7822f7f9a506,vul,7.0.1-9,FN,FN,FN,FN,FN,TP
CVE-2020-27758,ImageMagick/ImageMagick,f0a8d407b2801174fd8923941a9e7822f7f9a506,fix,7.1.0-32,TN,TN,TN,TN,TN,TN
CVE-2020-27758,ImageMagick/ImageMagick,f0a8d407b2801174fd8923941a9e7822f7f9a506,fix,7.1.2-0,TN,TN,TN,TN,TN,TN
CVE-2020-27760,ImageMagick/ImageMagick,c5fcdea6a6ae27cf3db20c28b176e87b1a584e06,vul,7.0.7-39,FN,TP,TP,TP,FN,TP
CVE-2020-27760,ImageMagick/ImageMagick,c5fcdea6a6ae27cf3db20c28b176e87b1a584e06,vul,7.0.2-10,FN,TP,FN,TP,TP,TP
CVE-2020-27760,ImageMagick/ImageMagick,c5fcdea6a6ae27cf3db20c28b176e87b1a584e06,fix,7.1.1-16,TN,TN,TN,TN,TN,TN
CVE-2020-27760,ImageMagick/ImageMagick,c5fcdea6a6ae27cf3db20c28b176e87b1a584e06,fix,7.1.2-0,TN,TN,TN,TN,TN,TN
CVE-2020-27761,ImageMagick/ImageMagick,db5e12e24f1378ce8c93a5c35991dcdd23a67bb0,vul,7.0.7-39,FN,FN,FN,FN,FN,TP
CVE-2020-27761,ImageMagick/ImageMagick,db5e12e24f1378ce8c93a5c35991dcdd23a67bb0,vul,7.0.7-4,FN,FN,FN,FN,FN,TP
CVE-2020-27761,ImageMagick/ImageMagick,db5e12e24f1378ce8c93a5c35991dcdd23a67bb0,fix,7.1.0-5,TN,TN,TN,TN,TN,TN
CVE-2020-27761,ImageMagick/ImageMagick,db5e12e24f1378ce8c93a5c35991dcdd23a67bb0,fix,7.1.1-41,TN,TN,TN,TN,TN,TN
CVE-2020-27762,ImageMagick/ImageMagick,7db3fa20893d557259da6e99e111954de83d2495,vul,7.0.7-39,FN,TP,TP,TP,FN,TP
CVE-2020-27762,ImageMagick/ImageMagick,7db3fa20893d557259da6e99e111954de83d2495,vul,7.0.7-23,FN,TP,FN,TP,FN,TP
CVE-2020-27762,ImageMagick/ImageMagick,7db3fa20893d557259da6e99e111954de83d2495,fix,7.1.1-16,TN,TN,TN,TN,TN,TN
CVE-2020-27762,ImageMagick/ImageMagick,7db3fa20893d557259da6e99e111954de83d2495,fix,7.1.1-41,TN,TN,TN,TN,TN,TN
