repo,cve,type,version
linux,CVE-2023-52467,pre,v5.5
linux,CVE-2023-52467,vul,v5.15
linux,CVE-2023-52467,vul,v5.9
linux,CVE-2023-52473,pre,v6.2
linux,CVE-2023-52473,vul,v6.4
linux,CVE-2023-52473,vul,v6.5
linux,CVE-2023-52477,vul,v4.4
linux,CVE-2023-52491,fix,v6.16
linux,CVE-2023-52491,vul,v5.18
linux,CVE-2023-52491,vul,v6.2
linux,CVE-2023-52512,fix,v6.15
linux,CVE-2023-52512,vul,v5.18
linux,CVE-2023-52512,vul,v6.1
linux,CVE-2023-52520,vul,v5.17
linux,CVE-2023-52522,vul,v3.19
linux,CVE-2023-52526,vul,v6.1
linux,CVE-2023-52526,vul,v6.3
linux,CVE-2023-52573,vul,v5.3
linux,CVE-2023-52589,vul,v6.0
linux,CVE-2023-52593,vul,v5.19
linux,CVE-2023-52593,vul,v6.0
linux,CVE-2023-52596,vul,v5.19
linux,CVE-2023-52617,vul,v4.12
linux,CVE-2023-52617,vul,v5.0
linux,CVE-2023-52629,fix,v6.10
linux,CVE-2023-52629,vul,v2.6.20
linux,CVE-2023-52629,vul,v3.7
linux,CVE-2023-5717,fix,v6.16
linux,CVE-2023-5717,vul,v4.17
linux,CVE-2023-5717,vul,v4.4
linux,CVE-2023-6121,vul,v5.2
linux,CVE-2023-6915,vul,v4.19
linux,CVE-2023-6915,vul,v4.20
linux,CVE-2023-7192,vul,v3.3
linux,CVE-2023-7192,vul,v4.9
linux,CVE-2024-0607,vul,v5.6
linux,CVE-2024-1151,vul,v5.6
linux,CVE-2024-23307,vul,v4.1
linux,CVE-2024-23307,vul,v4.8
linux,CVE-2024-25744,fix,v6.11
linux,CVE-2024-26581,vul,v6.6
linux,CVE-2024-26582,vul,v6.3
linux,CVE-2024-26583,vul,v5.19
linux,CVE-2024-26583,vul,v5.7
linux,CVE-2024-26588,vul,v6.1
linux,CVE-2024-26588,vul,v6.3
linux,CVE-2024-26591,vul,v5.13
linux,CVE-2024-26591,vul,v5.19
linux,CVE-2024-26594,vul,v6.4
linux,CVE-2024-26594,vul,v6.5
linux,CVE-2024-26598,vul,v5.8
linux,CVE-2024-26598,vul,v5.9
linux,CVE-2024-26603,vul,v5.16
linux,CVE-2024-26615,vul,v5.17
linux,CVE-2024-26620,vul,v6.0
linux,CVE-2024-26620,vul,v6.3
linux,CVE-2024-26629,vul,v5.19
linux,CVE-2024-26629,vul,v6.2
linux,CVE-2024-26667,vul,v6.5
linux,CVE-2024-26669,pre,v4.19
linux,CVE-2024-26669,vul,v5.1
linux,CVE-2024-26669,vul,v5.4
linux,CVE-2024-26697,vul,v3.8
linux,CVE-2024-26704,vul,v3.18
linux,CVE-2024-26704,vul,v5.1
linux,CVE-2024-26718,vul,v6.0
linux,CVE-2024-26733,vul,v2.6.12
linux,CVE-2024-26733,vul,v4.2
linux,CVE-2024-26764,vul,v5.0
linux,CVE-2024-26775,vul,v3.19
openjpeg,CVE-2020-15389,fix,v2.5.0
openjpeg,CVE-2020-27842,vul,v2.3.0
openjpeg,CVE-2021-29338,vul,v2.3.0
wireshark,CVE-2020-11647,vul,v1.10.8
wireshark,CVE-2020-11647,vul,v2.2.0
wireshark,CVE-2020-25862,vul,v2.4.0
wireshark,CVE-2020-25862,vul,v2.9.0
wireshark,CVE-2020-25866,vul,v2.9.0
wireshark,CVE-2020-25866,vul,v3.2.4
wireshark,CVE-2020-26421,vul,v1.10.8
wireshark,CVE-2020-26421,vul,v3.0.4
wireshark,CVE-2020-26575,vul,v2.9.0
wireshark,CVE-2020-26575,vul,v3.2.7
wireshark,CVE-2020-28030,vul,v2.5.0
wireshark,CVE-2020-28030,vul,v3.0.2
wireshark,CVE-2021-22191,fix,v4.6.0
wireshark,CVE-2021-22191,vul,v2.0.7
wireshark,CVE-2021-22191,vul,v4.4.0
wireshark,CVE-2021-22207,pre,v2.0.1
wireshark,CVE-2021-22207,vul,v2.0.8
wireshark,CVE-2021-22207,vul,v3.0.2
wireshark,CVE-2021-39922,fix,v4.1.0
wireshark,CVE-2021-39922,fix,v4.3.0
wireshark,CVE-2021-39922,vul,v1.10.8
wireshark,CVE-2021-39922,vul,v1.8.12
wireshark,CVE-2021-39923,vul,v1.10.8
wireshark,CVE-2021-39924,vul,v1.10.8
wireshark,CVE-2021-39925,vul,v1.10.8
wireshark,CVE-2021-39925,vul,v3.4.4
wireshark,CVE-2021-39928,vul,v3.0.2
wireshark,CVE-2021-39928,vul,v3.4.2
wireshark,CVE-2021-4181,pre,v3.1.0
wireshark,CVE-2021-4181,vul,v3.4.16
wireshark,CVE-2021-4181,vul,v3.4.9
wireshark,CVE-2021-4182,vul,v2.9.0
wireshark,CVE-2021-4182,vul,v3.0.2
wireshark,CVE-2022-0581,vul,v1.10.8
wireshark,CVE-2022-0583,vul,v1.10.8
wireshark,CVE-2022-0583,vul,v1.12.10
wireshark,CVE-2024-24476,vul,v2.2.0
